Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Category
"What is a computer?","An electronic device that processes data","A type of television","A mobile network","A calculator only","A","logical_score"
"Which of the following is an input device?","Monitor","Printer","Keyboard","Speaker","C","logical_score"
"Which of the following is an output device?","Mouse","Keyboard","Monitor","Scanner","C","logical_score"
"What is the full form of CPU?","Central Processing Unit","Computer Processing Unit","Central Program Unit","Control Program Unit","A","logical_score"
"What is often called the 'brain' of the computer?","Monitor","CPU","Mouse","Keyboard","B","logical_score"
"Which device is commonly used to move the cursor on a computer screen?","Printer","Speaker","Mouse","Scanner","C","logical_score"
"What is the full form of RAM?","Random Access Memory","Read Access Memory","Rapid Access Machine","Run Access Memory","A","logical_score"
"Which of these is used to store files permanently?","RAM","Hard Disk","CPU","Cache","B","logical_score"
"What is an operating system?","A web browser","Software that manages the computer","A programming language","An antivirus program","B","programming_score"
"Which of these is an operating system?","Windows","Google","YouTube","Intel","A","programming_score"
"What is the main function of a keyboard?","Display images","Print documents","Enter data and commands","Store files","C","logical_score"
"Which key is generally used to delete text to the left of the cursor?","Enter","Shift","Backspace","Ctrl","C","logical_score"
"Which application is commonly used to browse websites?","MS Word","Google Chrome","Calculator","Paint","B","networking_score"
"What does the Internet allow you to do?","Cook food","Connect and share information worldwide","Charge a battery","Repair hardware","B","networking_score"
"What is an email mainly used for?","Playing games","Watching movies","Sending and receiving messages","Drawing pictures","C","communication_score"
"Which symbol is required in every email address?","#","@","&","%","B","communication_score"
"What does WWW stand for?","World Wide Web","World Web Window","Wide World Web","Web World Wide","A","networking_score"
"Which of these is a search engine?","Google","Windows","Excel","Bluetooth","A","networking_score"
"Which of these is used to create text documents?","MS Word","Paint","Calculator","VLC Media Player","A","communication_score"
"Which software is commonly used to create presentations?","MS Excel","MS PowerPoint","Notepad","Google Maps","B","communication_score"
"Which of these stores many files and folders together?","File","Folder","Icon","Window","B","logical_score"
"What is a password used for?","Increasing internet speed","Protecting accounts and data","Turning on the monitor","Installing games","B","cyber_score"
"Which of the following is a good password practice?","Use '123456'","Use your name only","Use a strong mix of letters, numbers, and symbols","Share your password with friends","C","cyber_score"
"What should you do if you receive a suspicious email from an unknown sender?","Open every attachment","Reply with personal details","Delete or report it","Forward it to everyone","C","cyber_score"
"What is the full form of USB?","Universal Serial Bus","United System Board","Universal System Backup","Unique Serial Base","A","logical_score"
"Which device is commonly used to print documents on paper?","Monitor","Printer","Scanner","Webcam","B","logical_score"
"Which of the following is an example of a file type?",".jpg",".mouse",".keyboard",".screen","A","programming_score"
"What is the purpose of a recycle bin on a computer?","Store internet history","Temporarily keep deleted files","Increase RAM","Install software","B","logical_score"
"Which of these devices can capture photos and videos for a computer?","Webcam","Speaker","Printer","Router","A","logical_score"
"What should you do before turning off a computer after working on a document?","Delete the document","Save your work","Disconnect the keyboard","Restart the computer","B","logical_score"
